adjoint,measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,simulation_values,source
0,0,0.12167978288653,0,0,0,0,0.12167978288653,1
0,0,0.45533154094397,0,0,0,0,0.45533154094397,2
0,0,0.47326307589773,0,0,0,0,0.47326307589773,-1
0,0,0.3925248098792,0,0,0,0,0.3925248098792,3
0,0,0.09631748263822,0,0,0,0,0.09631748263822,0
0,0,-0.0034929354865351,0,0,0,0,-0.0034929354865347,0
0,0,0.085617624411979,0,0,0,0,0.085617624411979,0
0,0,0.27245239918046,0,0,0,0,0.27245239918046,0
0,0,0.27032670013135,0,0,0,0,0.27032670013135,0
0,0,0.06274715505589,0,0,0,0,0.06274715505589,0
